Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
7310-00-DW-037N,Outside Girl's Room - Left,9/30/2016,0.92,BA
7310-00-DW-038N,Outside Girls Room - Center,9/30/2016,0.19,BA
7310-00-DW-039N,Outside Girls Room - Right,9/30/2016,0.97,BA
7310-00-WC-040N,Proximate to Boy's Room - Left,9/30/2016,2.4,BA
7310-00-WC-041N,Proximate to Boy's Room - Center,9/30/2016,2.1,BA
7310-00-WC-042N,Proximate to Boy's Room - Right,9/30/2016,6.7,BA
7310-01-WC-043N,Outside Room 004 - Left,9/30/2016,0.16,BA
7310-01-WC-044N,Outside Room 004 - Right,9/30/2016,0.17,BA
7310-02-WC-045N,Outside Rooms 9 and 10  - Left,9/30/2016,0.18,BA
7310-02-WC-046N,Outside Rooms 9 and 10  - Right,9/30/2016,1.1,BA
