Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
1230-00-DW-006,Basement - Across Corridor from Fan Room - Right,10/6/2016,2.9,BA
1230-00-DW-007,Basement - Across Corridor from Fan Room,10/6/2016,1.1,BA
1230-00-DW-008,Basement - Across Corridor from Fan Room,10/6/2016,1.9,BA
1230-00-DW-009,Basement - Across Corridor from Fan Room,10/6/2016,0.84,BA
1230-00-DW-010,Basement - Across Corridor from Fan Room,10/6/2016,1.5,BA
1230-00-DW-011,Basement - Across Corridor from Fan Room - Left,10/6/2016,0.65,BA
1230-00-DW-012,Basement Fountains Adj from Girls Room - Right,10/6/2016,0.91,BA
1230-00-DW-014,Basement Fountains Adj from Girls Room,10/6/2016,0.48,BA
1230-00-DW-015,Basement Fountains Adj from Girls Room,10/6/2016,1.6,BA
1230-00-DW-017,Basement Fountains Adj from Girls Room - Left,10/6/2016,0.96,BA
1230-00-DW-027,Basement - Corridor Across from Gym - Right,10/6/2016,1.3,BA
1230-00-DW-028,Basement - Corridor Across from Gym,10/6/2016,19.2,AA
1230-00-DW-029,Basement - Corridor Across from Gym,10/6/2016,2.4,BA
1230-00-DW-030,Basement - Corridor Across from Gym,10/6/2016,4.1,BA
1230-00-DW-031,Basement - Corridor Across from Gym,10/6/2016,1.8,BA
1230-00-DW-032,Basement - Corridor Across from Gym - Left,10/6/2016,2.6,BA
1230-01-WC-038,Corridor by Boys and Girls Bathrooms - Right,10/6/2016,0.18,BA
1230-01-WC-039,Corridor by Boys and Girls Bathrooms - Left,10/6/2016,0.69,BA
1230-01-HS-045,Corridor between Rm 107 & 108,10/6/2016,<0.054,BA
1230-01-WC-047,Corridor by Room 103,10/6/2016,0.44,BA
1230-01-WC-049,Room 103 - near bathroom,10/6/2016,4.9,BA
1230-01-WC-050,Room 102 - near bathroom,10/6/2016,0.48,BA
1230-01-WC-052,Room 101 - outside bathroom,10/6/2016,1.9,BA
1230-02-WC-055,Corridor across from Room 213 - Right,10/6/2016,0.74,BA
1230-02-WC-056,Corridor across from Room 213 - Left,10/6/2016,1.1,BA
1230-02-WC-061,Teachers Lounge,10/6/2016,0.39,BA
1230-02-HS-064,Corridor adj. to Room 207,10/6/2016,<0.054,BA
1230-02-WC-067,Corridor adj. to Room 203,10/6/2016,3.2,BA
1230-03-WC-068,Corridor across from Room 313 - Right,10/6/2016,0.16,BA
1230-03-WC-069,Corridor across from Room 313 - Left,10/6/2016,0.41,BA
1230-03-WC-074,Teachers Lounge,10/6/2016,0.64,BA
1230-03-HS-077,Corridor Adj to Room 307,10/6/2016,<0.054,BA
1230-03-WC-080,Corridor Adj to Room 303,10/6/2016,0.52,BA
1230-01-WC-087,Main Lobby - outside of Auditorium,10/6/2016,4.8,BA
1230-01-WC-089,Lunch Room/Auditorium - Southeast Corner - Right,10/6/2016,0.67,BA
1230-01-WC-090,Lunch Room/Auditorium - Southeast Corner - Left,10/6/2016,1.2,BA
1230-01-WC-093,Lunch Room/Auditorium - Northwest Corner,10/6/2016,1.3,BA
