6390-01-DW-001,in Gymnasium,8/5/2016,0.31,BA
6390-01-WC-002,Room 113,8/5/2016,0.58,BA
6390-01-WC-005,Room 107,8/5/2016,0.61,BA
6390-01-WC-007,Across from Room 105,8/5/2016,0.17,BA
6390-01-WC-008,Cafeteria - opposite kitchen,8/5/2016,0.098,BA
6390-01-WC-009,"Cafeteria - kitchen side (near wall outside of teacher'sdining room)",8/5/2016,0.19,BA
6390-01-WC-010,Across from Main Office,8/5/2016,0.97,BA
6390-01-DW-012,Teachers Dining Room,8/5/2016,0.097,BA
6390-02-WC-020,Outside Room 214,8/5/2016,0.93,BA
6390-02-WC-033,Outside Room 211,8/5/2016,0.20,BA
6390-03-WC-034,Outside Room 311,8/5/2016,0.39,BA
6390-03-WC-047,Outside Room 314,8/5/2016,0.43,BA
