1490-00-DW-002,Outside Building Engineer's office - Left,8/11/2016,0.89,BA
1490-00-DW-003,Outside Building Engineer's office - Center,8/11/2016,2.4,BA
1490-00-DW-004,Outside Building Engineer's office - Right,8/11/2016,3.0,BA
1490-00-DW-007,Across from Gym - Left - near Room 027,8/11/2016,5.8,BA
1490-00-DW-009,Across From Gym - Right - near Room 027,8/11/2016,3.6,BA
1490-00-DW-010,Across from Gym - Left - Near Room 030,8/11/2016,2.2,BA
1490-00-DW-012,Across from Gym - Right - Near Room 030,8/11/2016,2.1,BA
1490-00-DW-013,Across from IMC Room 003B - left,8/11/2016,9.5,BA
1490-00-DW-015,Across from IMC Room 003B - right,8/11/2016,3.6,BA
1490-01-WC-016,Outside Room 003,8/11/2016,0.59,BA
1490-01-DW-024,In Room 004 (K-4),8/11/2016,1.3,BA
1490-01-WC-028,Outside Room 005,8/11/2016,6.2,BA
1490-02-DW-032,Outside Room 014,8/11/2016,3.5,BA
1490-02-DW-038,Outside Room 010,8/11/2016,0.95,BA
1490-03-DW-047,Outside Room 018,8/11/2016,3.0,BA
1490-02-DW-051,Outside Room 026,8/11/2016,2.9,BA
1490-00-DW-078N,Day Care Room 027,8/11/2016,0.81,BA
1490-00-DW-079N,Day Care Room 029,8/11/2016,3.3,BA
