Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
4470-01-WC-006,In Café-Auditorium - near Room 104A,10/27/2016,1.3,BA
4470-01-WC-007,In Café-Auditorium - near Room 101B,10/27/2016,1.3,BA
4470-01-WC-011,Cooler outside Womens Room,10/27/2016,0.42,BA
4470-01-DW-033,Corner of Gym near Boys Room,10/27/2016,1.3,BA
4470-01-DW-034,Opposite Corner of 033,10/27/2016,0.39,BA
4470-01-WC-037,Cooler across from Art Room,10/27/2016,1.7,BA
4470-01-WC-039,Across from Room 122,10/27/2016,0.71,BA
4470-01-WC-040,Outside of Room 122,10/27/2016,0.95,BA
4470-01-WC-052,Outside of Room 114,10/27/2016,0.98,BA
4470-02-DW-059,Room 224,10/27/2016,9.9,BA
4470-02-DW-061,Room 223,10/27/2016,5.3,BA
4470-02-WC-065,Across from Rm 221,10/27/2016,0.54,BA
4470-02-DW-070,Room 219,10/27/2016,8.6,BA
4470-02-DW-072,Room 220,10/27/2016,11.9,BA
4470-02-WC-080,Across from Room 216,10/27/2016,0.57,BA
4470-02-DW-081,Room 216,10/27/2016,4.8,BA
4470-02-WC-089,Across from Room 209,10/27/2016,2.2,BA
4470-02-DW-103,Room 207,10/27/2016,9.9,BA
4470-02-DW-109,Room 205,10/27/2016,5.6,BA
4470-02-DW-116,Room 203,10/27/2016,3.6,BA
4470-01-DW-123,Room 114,10/27/2016,2.6,BA
