Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
4440-01-HS-007,Cafeteria,10/14/2016,<0.054,BA
4440-01-HS-025,Room 101B,10/14/2016,<0.054,BA
4440-01-WC-042,Room 104 - Resource Room,10/14/2016,0.88,BA
4440-01-WC-052,Room 107,10/14/2016,1.8,BA
4440-01-WC-056,Room 109,10/14/2016,1.2,BA
4440-01-DW-062,Gymnasium - outside of Boy's room - left,10/14/2016,0.76,BA
4440-01-DW-072,Room 113,10/14/2016,6.9,BA
4440-01-WC-073,Outside Room 114,10/14/2016,8.7,BA
4440-01-DW-075,Room 114,10/14/2016,7.0,BA
4440-01-WC-076,Outside of Elevator,10/14/2016,2.0,BA
4440-02-DW-085,Room 201A,10/14/2016,2.9,BA
4440-02-DW-103,Room 207A,10/14/2016,2.9,BA
4440-02-DW-117,"Room 211, on the sink in the classroom",10/14/2016,5.1,BA
4440-01-DW-135N,Outside Room 109 - left,10/14/2016,0.60,BA
4440-01-DW-136N,Outside Room 109 - right,10/14/2016,0.42,BA
4440-01-DW-137N,Room 110,10/14/2016,0.85,BA
4440-01-DW-138N,Room 111,10/14/2016,4.2,BA
4440-01-DW-139,"Room 115, on the sink in the classroom",10/14/2016,16.5,AA
4440-01-DW-140,"Room 103, on the sink in the classroom",10/14/2016,8.4,BA
4440-02-DW-141,"Room 205, on the sink in the classroom",10/14/2016,4.9,BA
4440-02-DW-142,"Room 212, on the sink in the classroom",10/14/2016,10.6,BA
4440-02-DW-143,"Room 213, on the sink in the classroom",10/14/2016,4.4,BA
4440-02-DW-144,Across from Room 209 - left,10/14/2016,0.61,BA
4440-02-DW-145,Across from Room 209 - right,10/14/2016,0.65,BA
4440-01-WC-146,Room 116,10/14/2016,19.4,AA
4440-01-WC-147,Room 108,10/14/2016,15.2,AA
4440-02-DW-148,Room 210 - on the sink,10/14/2016,8.6,BA
4440-01-WC-149,Gymnasium - outside of Boy's room - right water cooler,10/14/2016,1.1,BA
4440-02-HS-150,Outside Room 202 - hydration station,10/14/2016,<0.054,BA
