Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
1280-00-WC-001,"Cafeteria, Room B01 – Left Side",10/28/2016,<0.054,BA
1280-00-WC-002,"Cafeteria, Room B01 – Right Side",10/28/2016,<0.054,BA
1280-00-WC-003,Outside Library Room B23 – Left Side,10/28/2016,0.29,BA
1280-00-WC-004,Outside Library Room B23 – Right Side,10/28/2016,1.2,BA
1280-01-WC-005,Main Office Outside Room 125 – Floor 1R,10/28/2016,0.55,BA
1280-01-WC-006,"Gym, Room 100 – Left Side (at Boys Restroom)",10/28/2016,<0.054,BA
1280-01-WC-007,"Gym, Room 100 – Right Side (at Girls Restroom)",10/28/2016,<0.054,BA
1280-01-WC-008,Between Restrooms across from Room 109,10/28/2016,<0.054,BA
1280-01-WC-009,Between Restrooms across from Room 118,10/28/2016,<0.054,BA
1280-01-WC-010,Next to Room 135 at Elevator – Left Side – Floor 1R,10/28/2016,0.057,BA
1280-01-WC-011,Next to Room 135 at Elevator – Right Side – Floor 1R,10/28/2016,0.12,BA
1280-02-WC-012,Between Restrooms across from Room 209,10/28/2016,0.14,BA
1280-02-WC-013,Between Restrooms across from Room 218,10/28/2016,0.18,BA
1280-02-WC-014,Next to Room 233 at elevator – Left Side – Floor 2R,10/28/2016,0.68,BA
1280-02-WC-015,Next to Room 233 at elevator – Right Side – Floor 2R,10/28/2016,0.82,BA
1280-03-WC-016,Between Restrooms at Room 309,10/28/2016,0.31,BA
1280-03-WC-017,Between Restrooms at Room 318,10/28/2016,<0.054,BA
