Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
5250-00-DW-005,Outside physical education office,10/21/2016,1.2,BA
5250-00-DW-013,Outside boys room - left,10/21/2016,0.93,BA
5250-00-DW-015,Outside boys room - middle,10/21/2016,1.7,BA
5250-00-DW-016,Outside boys room - right,10/21/2016,0.49,BA
5250-01-DW-021,Across from Room 108,10/21/2016,7.3,BA
5250-01-DW-023,Room 107,10/21/2016,7.5,BA
5250-01-HS-026,Outside Room 103,10/21/2016,<0.054,BA
5250-02-WC-036,Across from Room 208,10/21/2016,0.30,BA
5250-02-DW-040,Room 207,10/21/2016,7.2,BA
5250-03-WC-042,Across from Room 308,10/21/2016,0.40,BA
5250-03-DW-049,Across from IMC - remaining outlet on the right,10/21/2016,10,BA
5250-03-HS-050,Across from IMC - right of DW-049,10/21/2016,<0.054,BA
5250-04-DW-068,Room 401 - girls side roof top horitculture,10/21/2016,1.1,BA
5250-02-HS-069N,Outside Room 203,10/21/2016,<0.054,BA
