Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
2010-00-DW-006,Center of Lobby Area - Left - Used by Day Care,8/18/2016,7.4,BA
2010-00-DW-007,Center of Lobby Area - Right - Used by Day Care,8/18/2016,6.9,BA
2010-01-DW-015,Outside Room 100,8/18/2016,5.4,BA
2010-01-DW-021,Gymnasium - East End,8/18/2016,2.4,BA
2010-01-DW-031,Outside Room 115 - Left,8/18/2016,12.5,BA
2010-01-DW-032,Outside Room 115 - Right,8/18/2016,36.0,AA
2010-02-DW-041,Outside Room 211 - Left,8/18/2016,13.1,BA
2010-02-DW-042,Outside Room 211 - Right,8/18/2016,10.9,BA
2010-02-DW-045,Outside Room 203 - Left (right side has been removed),8/18/2016,5.8,BA
2010-03-DW-050,Outside Room 305 - Right (left side has been removed),8/18/2016,12,BA
2010-03-DW-051,Outside Room 317,8/18/2016,15.2,AA
2010-03-DW-053,Outside Room 321 - Right (left side has been removed),8/18/2016,28.1,AA
2010-04-DW-054,Outside Room 414,8/18/2016,13.2,BA
2010-04-DW-056,Outside Room 406,8/18/2016,7.6,BA
2010-04-DW-057,Across from Room 403,8/18/2016,6.9,BA
2010-05-DW-060,Outside Room 505,8/18/2016,7.4,BA
2010-05-DW-061,Across From Room 503,8/18/2016,16.6,AA
2010-06-DW-062,Cafeteria - Kitchen end of room,8/18/2016,16.2,AA
2010-06-WC-074,Cafeteria - Elevator end of room - facing kitchen,8/18/2016,15.2,AA
2010-06-DW-077,Teachers Lounge - Left,8/18/2016,32.8,AA
2010-00-DW-296N,Across from Room 7C - left,8/18/2016,7.9,BA
2010-00-DW-297N,Across from Room 7C - right,8/18/2016,5.4,BA
2010-00-DW-298N,Across from Room 13,8/18/2016,16.0,AA
2010-00-DW-299N,Outside of Room 17 - left,8/18/2016,19.7,AA
2010-00-DW-300N,Outside of Room 17 - right,8/18/2016,8.7,BA
2010-03-DW-301N,Across from Room 303,8/18/2016,12.9,BA
2010-05-DW-302N,Across From Room 508,8/18/2016,56.1,AA
2010-06-DW-303N,In the cafeteria - on the far wall past the kitchen,8/18/2016,22.1,AA
2010-01-DW-304N,On the west side of the gym,8/18/2016,5.8,BA
