Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
5470-01-DW-003,Room 110,9/1/2016,10.0,BA
5470-01-DW-006,Room 108,9/1/2016,111,AA
5470-01-DW-009,Room 106,9/1/2016,43.5,AA
5470-01-DW-050,Room 109,9/1/2016,92.9,AA
5470-01-DW-054,Room 111,9/1/2016,14.8,BA
5470-02-DW-072,Room 205,9/1/2016,9.8,BA
5470-02-DW-074,Room 201,9/1/2016,13.5,BA
5470-02-DW-084,Room 208,9/1/2016,13.5,BA
5470-03-DW-098,Room 309,9/1/2016,8.9,BA
5470-03-DW-104,Room 301,9/1/2016,13.1,BA
5470-03-DW-110,Room 306,9/1/2016,15.5,AA
