Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
8270-00-DW-009,Room 001 - Head Start,8/12/2016,53.4,AA
8270-00-DW-011,Room 002 - Head Start,8/12/2016,26.2,AA
8270-00-WC-016,Outside Lunch Room - across from Room 001,8/12/2016,5.9,BA
8270-00-DW-017,Outside of Gymnasium,8/12/2016,10.6,BA
8270-00-WC-020,inside IMC,8/12/2016,5.3,BA
8270-01-DW-033,Outside Room 108 - Left,8/12/2016,53.1,AA
8270-01-DW-034,Outside Room 108 - Right,8/12/2016,18.0,AA
8270-01-WC-039,Dressing Room B - (115),8/12/2016,26.9,AA
8270-01-DW-041,Across from Room 112,8/12/2016,12.2,BA
8270-01-DW-051,Across from Room 101 - Left,8/12/2016,25.6,AA
8270-01-DW-052,Across from Room 101 - Right,8/12/2016,25.5,AA
8270-02-DW-074,Outside Room 207 - Left (right has been removed),8/12/2016,20.3,AA
8270-02-DW-082,Across from Room 213 - Left,8/12/2016,14.1,BA
8270-02-DW-083,Across from Room 213 - Right,8/12/2016,20.1,AA
8270-02-WC-085,Teacher's Lounge,8/12/2016,5.1,BA
8270-02-DW-092,Outside Room 209 - Left,8/12/2016,19.1,AA
8270-02-DW-093,Outside Room 209 - Right,8/12/2016,31.4,AA
8270-01-WC-099,Element 3 - Room 064 (Room 004 on Drawing),8/12/2016,1.8,BA
8270-01-WC-102,Element 3 - Room 61 (room 001 on Drawing),8/12/2016,2.8,BA
8270-01-WC-105,Element 3 - Head Start - Room 62 (Room 002 on Drawing),8/12/2016,2.6,BA
8270-01-WC-108,Element 3 - Head Start - Room 65 (Room 005 on Drawing),8/12/2016,2.0,BA
8270-01-WC-111,Element 3 - Head Start - Room 66 (Room 006 on Drawing),8/12/2016,3.1,BA
8270-01-WC-114,Element 3 - Head Start - Room 63 (Room 003 on Drawing),8/12/2016,4.1,BA
