Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
8420-00-DW-012,Outside bathrooms - near kitchen,7/22/2016,2.1,BA
8420-00-DW-018,In Gym,7/22/2016,5.6,BA
8420-01-DW-021,In IMC - element 2,7/22/2016,0.38,BA
8420-01-WC-022,In IMC - element 2,7/22/2016,0.30,BA
8420-01-DW-040,Across from Main Office,7/22/2016,4.6,BA
8420-01-DW-054,Outside bathrooms (element 1),7/22/2016,2.9,BA
8420-02-DW-062,Across from Rooms 200 & 202,7/22/2016,4.8,BA
8420-02-DW-068,Across from Room 214,7/22/2016,2.9,BA
8420-02-DW-073,Outside Room 220,7/22/2016,3.9,BA
8420-03-DW-082,Across from Room 320,7/22/2016,4.2,BA
8420-03-DW-087,Across from Room 314,7/22/2016,4.2,BA
8420-03-DW-093,Across from Rooms 300 & 302,7/22/2016,2.8,BA
8420-01-WC-101,Outside bathrooms - element 4,7/22/2016,1.7,BA
8240-01-WC-108,Outside Room A10 - Element 4,7/22/2016,2.0,BA
8240-01-WC-115N,Home and School Room - Element 3,7/22/2016,16.5,AA
