Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
4570-00-DW-007,Outside Boys Room - Left,8/4/2016,6.8,BA
4570-00-DW-008,Outside Boys Room,8/4/2016,2.6,BA
4570-00-DW-010,Outside Boys Room,8/4/2016,2.6,BA
4570-00-DW-011,Outside Boys Room,8/4/2016,1.1,BA
4570-00-DW-012,Outside Boys Room - Right,8/4/2016,1.2,BA
4570-00-DW-015,Outside Lunch Room - Left,8/4/2016,1.1,BA
4570-00-DW-016,Outside Lunch Room,8/4/2016,1.1,BA
4570-00-DW-017,Outside Lunch Room,8/4/2016,0.37,BA
4570-00-DW-018,Outside Lunch Room,8/4/2016,1.5,BA
4570-00-DW-019,Outside Lunch Room,8/4/2016,0.67,BA
4570-00-DW-020,Outside Lunch Room - Right,8/4/2016,0.53,BA
4570-00-WC-037,Outside Room 16,8/4/2016,3.3,BA
4570-01-WC-046,Room 117,8/4/2016,0.30,BA
4570-01-WC-048,Outside Room 118,8/4/2016,1.8,BA
4570-01-WC-053,Room 115,8/4/2016,0.93,BA
4570-01-DW-060,Across from Room 108,8/4/2016,1.4,BA
4570-01-DW-063,Outside Clinic Bathroom,8/4/2016,0.58,BA
4570-02-DW-076,Across from Room 209 - Left (right has been removed),8/4/2016,1.7,BA
4570-02-DW-081,Across from Room 203,8/4/2016,0.77,BA
4570-02-DW-086,Outside Room 218 - Left,8/4/2016,3.1,BA
4570-02-DW-087,Outside Room 218 - Right,8/4/2016,1.9,BA
4570-03-DW-095,Outside Room 318 - Left,8/4/2016,3.1,BA
4570-03-DW-100,Across From Room 303 - Left,8/4/2016,2.6,BA
