Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
7460-01-DW-004,Outside Room 104 Left,7/29/2016,0.19,ND
7460-01-DW-005,Outside Room 104 Right,7/29/2016,0.57,ND
7460-01-DW-016,In Room 103,7/29/2016,5.1,BA
7460-02-DW-034,Outside Room 206 Left,7/29/2016,0.41,ND
7460-02-DW-035,Outside Room 206 Right,7/29/2016,0.49,ND
7460-01-DW-038N,Outside of Cafeteria - Left,7/29/2016,0.13,ND
7460-01-DW-039N,Outside of Cafeteria - Right,7/29/2016,0.13,ND
7460-01-DW-040N,Gmnasium - Left,7/29/2016,3.8,BA
7460-01-DW-041N,Gymnasium - Right,7/29/2016,2.3,BA
7460-02-DW-042N,Outside Room 220 - Left,7/29/2016,0.054,ND
7460-02-DW-043N,Outside Room 220 - Right,7/29/2016,0.054,ND
7460-01-DW-044N,Room 104,7/29/2016,0.38,ND
7460-01-DW-045N,Room 105,7/29/2016,3.1,BA
