Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
8270-00-DW-009,Room 001 - Head Start,8/27/2016,114,AA
8270-00-DW-011,Room 002 - Head Start,8/27/2016,17.3,AA
8270-01-DW-033,Outside Room 108 - Left,8/27/2016,6.6,BA
8270-01-DW-034,Outside Room 108 - Right,8/27/2016,3.5,BA
8270-01-WC-039,Dressing Room B - (115),8/27/2016,6.1,BA
8270-01-DW-051,Across from Room 101 - Left,8/27/2016,11.7,BA
8270-01-DW-052,Across from Room 101 - Right,8/27/2016,10.3,BA
8270-02-DW-074,Outside Room 207 - Left (right has been removed),8/27/2016,12.5,BA
8270-02-DW-082,Across from Room 213 - Left,8/27/2016,23.1,AA
8270-02-DW-083,Across from Room 213 - Right,8/27/2016,13.1,BA
8270-02-DW-092,Outside Room 209 - Left,8/27/2016,12.1,BA
8270-02-DW-093,Outside Room 209 - Right,8/27/2016,12.2,BA
