Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
4380-00-DW-040,Outside Girl's Room - left,7/22/2016,2.4,BA
4380-00-DW-041,Outside Girls Room,7/22/2016,2.7,BA
4380-00-DW-042,Outside Girls Room,7/22/2016,4.7,BA
4380-00-DW-043,Outside Girls Room,7/22/2016,4.1,BA
4380-00-DW-044,Outside Girls Room,7/22/2016,1.3,BA
4380-00-DW-045,Outside Girls Room - right,7/22/2016,1.7,BA
4380-01-DW-058,Outside Room 7,7/22/2016,0.29,BA
4380-02-DW-066,Across from  IMC - Right,7/22/2016,0.34,BA
4380-03-DW-072,Across from Room 33 - Right,7/22/2016,0.70,BA
4380-02-DW-075,Next to Room 14 - Staff Lounge,7/22/2016,1.4,BA
4380-00-WC-077N,Outside Boy's Room,7/22/2016,0.21,BA
