Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
6470-01-DW-001,K-6 location,10/27/2016,3.0,BA
6470-01-DW-002,K-5 location,10/27/2016,3.8,BA
6470-01-DW-003,Gym,10/27/2016,0.41,BA
6470-01-DW-004,Lounge,10/27/2016,0.69,BA
6470-01-DW-005,K-4,10/27/2016,1.2,BA
6470-01-DW-006,K-3,10/27/2016,2.2,BA
6470-01-WC-007,Lunchroom,10/27/2016,0.42,BA
6470-01-DW-008,K-2,10/27/2016,0.62,BA
6470-01-DW-009,K-1,10/27/2016,1.1,BA
6470-01-WC-010,Outside auditorium (left),10/27/2016,0.41,BA
6470-01-WC-011,Outside Health Suite,10/27/2016,1.1,BA
6470-01-HS-012,Hallway across from Office,10/27/2016,<0.054,BA
6470-01-WC-013,Outside Boy's Room (114),10/27/2016,0.51,BA
6470-01-HS-016,Outside Room 108,10/27/2016,<0.054,BA
6470-02-WC-017,Outside Room 212,10/27/2016,0.42,BA
6470-02-HS-018,Outside Room 209,10/27/2016,<0.054,BA
6470-02-WC-019,Outside Room 205,10/27/2016,0.61,BA
6470-02-WC-020,Outside Room 201,10/27/2016,0.65,BA
