Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
6260-00-DW-001,Outside boy's room - left,10/20/2016,3.6,BA
6260-00-DW-002,Outside boy's room - right,10/20/2016,1.1,BA
6260-00-DW-003,Outside girl's  room - left,10/20/2016,2.4,BA
6260-00-DW-004,Outside girl's room - center,10/20/2016,0.75,BA
6260-00-DW-005,Outside girl's room - right,10/20/2016,1.0,BA
6260-00-DW-006,Outside mechanical room,10/20/2016,3.9,BA
6260-00-DW-007,On column in lunch room,10/20/2016,2.9,BA
6260-01-DW-011,Hall next to auditorium,10/20/2016,5.7,BA
6260-01-DW-012,Outside Room 102,10/20/2016,0.93,BA
6260-01-DW-013,In Room 109,10/20/2016,14.5,BA
6260-01-WC-014,In main office,10/20/2016,0.97,BA
6260-01-DW-016,Outside Room 107,10/20/2016,1.6,BA
6260-02-DW-017,Outside Room 207,10/20/2016,1.5,BA
6260-02-WC-018,Room 211B - lounge - next to Room 209,10/20/2016,7.5,BA
6260-02-DW-019,Outside of Room 202,10/20/2016,1.6,BA
6260-02-DW-020,Outside of Room 210,10/20/2016,4.8,BA
6260-03-DW-021,Outside of Room 302,10/20/2016,0.92,BA
6260-03-DW-023,Outside of Room 307,10/20/2016,4.7,BA
6260-01-WC-024,Room 122 - Element 3,10/20/2016,0.26,BA
