Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
8300-01-DW-008,Cafeteria - outside kitchen - left,9/30/2016,1.7,BA
8300-01-DW-009,Cafeteria - outside kitchen - right,9/30/2016,0.70,BA
8300-01-DW-014,Adjacent to boys room - off of the gym,9/30/2016,1.3,BA
8300-01-DW-046,Outside Room 102,9/30/2016,ND<0.074,BA
8300-01-WC-047,Outside Room 102,9/30/2016,0.37,BA
8300-01-DW-059,Outside Room 107,9/30/2016,7.5,BA
8300-01-WC-060,Outside Room 107,9/30/2016,0.68,BA
8300-02-WC-069,Across from Room 211,9/30/2016,0.41,BA
8300-02-DW-070,Across from Room 211,9/30/2016,ND<0.074,BA
8300-02-DW-093N,Across from Room 201 - Left,9/30/2016,0.40,BA
8300-02-DW-094N,Across from Room 201 - Right,9/30/2016,3.7,BA
8300-02-DW-095N,Room 218,9/30/2016,3.6,BA
8300-02-DW-096N,Room 220,9/30/2016,0.93,BA
8300-01-DW-097N,Room 118,9/30/2016,18.9,AA
8300-01-DW-098N,Room 117 - Left,9/30/2016,0.13,BA
8300-01-DW-099N,Room 117 Right,9/30/2016,4.1,BA
