7510-00-DW-006,Room 5,7/29/2016,2.4,BA
7510-00-DW-009,Room 1,7/29/2016,6.9,BA
7510-00-DW-012,Room 2,7/29/2016,5.9,BA
7510-00-DW-015,Room 3,7/29/2016,3.8,BA
7510-00-DW-018,Room 4,7/29/2016,64.3,AA
7510-01-WC-022,Outside Room 105,7/29/2016,1.6,BA
7510-01-DW-029,Room 102,7/29/2016,6.3,BA
7510-01-WC-039,By Stairway D,7/29/2016,1.2,BA
7510-01-WC-045,Inside of Cafeteria,7/29/2016,4.3,BA
7510-01-WC-048,Outside of Cafeteria - in main lobby,7/29/2016,1.1,BA
7510-01-WC-055,Outside of Gymnasium,7/29/2016,2.6,BA
7510-01-DW-059,Room 114,7/29/2016,10.2,BA
7510-01-DW-069,Room 111,7/29/2016,12.9,BA
7510-01-WC-076,Across from Room 110,7/29/2016,3.4,BA
7510-01-DW-077,Room 109,7/29/2016,5.0,BA
7510-01-DW-083,Room 106,7/29/2016,4.6,BA
7510-02-WC-086,Top of Stairway B - near Room 210,7/29/2016,0.59,BA
7510-02-DW-091,Room 207,7/29/2016,19.7,AA
7510-02-WC-095,Across from Room 205 - in hall,7/29/2016,0.49,BA
7510-02-DW-105,Room 201,7/29/2016,11.8,BA
7510-02-WC-120,In hallway; near stairs; outside Room 218B,7/29/2016,7.7,BA
7510-02-WC-127,Outside Rooms 216 and 215,7/29/2016,8.0,BA
7510-02-DW-136,Room 212,7/29/2016,11.1,BA
